beat,block,day,tract,600ft,1200ft,1800ft,2400ft,3000ft
1121,8366001025,1,836600,0.0,0.0,0.0,0.0,0.0
1121,8366001025,4,836600,0.0,0.0,0.0,0.0,0.0
1121,8366001025,7,836600,0.0,0.0,0.0,0.0,0.0
1121,8366001025,10,836600,0.0,0.0,0.0,0.807246376814,0.0
1121,8366001025,13,836600,0.0,0.0,0.0,0.0,0.0
524,5305011040,1,530501,0.0,0.0,0.0,0.0,0.0
524,5305011040,4,530501,0.0,0.0,0.0,0.0,0.0
524,5305011040,7,530501,0.0,0.0,0.0,0.0,0.0
524,5305011040,10,530501,0.0,0.0,0.0,0.0,0.923411742901
524,5305011040,13,530501,0.0,0.0,0.0,0.0,0.967545180725
513,4910004033,1,491000,0.0,0.0,0.0,1.16076030929,0.0
513,4910004033,4,491000,0.0,0.0,0.0,0.0,1.00394469907
513,4910004033,7,491000,0.0,0.0,0.0,1.01862298647,0.0
513,4910004033,10,491000,0.0,0.0,0.0,2.06884387192,1.02986844334
513,4910004033,13,491000,0.0,0.0,0.0,1.02085830183,1.01624596497
1614,7608033000,1,760803,0.0,0.0,0.0,0.0,0.0
1614,7608033000,4,760803,0.0,0.0,0.0,0.0,0.0
1614,7608033000,7,760803,-0.0,0.0,0.0,0.0,0.0
1614,7608033000,10,760803,0.0,0.0,0.0,0.0,0.0
1614,7608033000,13,760803,0.0,0.0,0.0,0.0,0.0
1731,1510022019,1,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022019,4,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022019,7,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022019,10,151002,0.0,0.0,0.0,0.876276195587,0.0
1731,1510022019,13,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022014,1,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022014,4,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022014,7,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022014,10,151002,0.0,0.0,0.0,0.0,0.939818809316
1731,1510022014,13,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022016,1,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022016,4,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022016,7,151002,0.0,0.0,0.0,0.0,0.0
1731,1510022016,10,151002,0.0,0.0,0.0,0.0,1.87963761863
1731,1510022016,13,151002,0.0,0.0,0.0,0.0,0.0
1132,2610002010,1,261000,0.0,0.0,0.0,0.0,0.0
1132,2610002010,4,261000,0.0,0.0,0.0,0.0,0.0
1132,2610002010,7,261000,1.38743455498,0.0,0.0,0.0,0.0
1132,2610002010,10,261000,0.0,0.0,0.0,0.0,0.96582984658
1132,2610002010,13,261000,0.0,0.0,0.0,0.0,0.0
2223,7305004000,1,730500,0.0,0.0,2.80727272728,0.0,0.0
2223,7305004000,4,730500,0.0,0.0,0.0,0.0,0.0
2223,7305004000,7,730500,0.0,0.0,0.0,0.0,0.0
2223,7305004000,10,730500,0.0,0.0,0.0,1.10988692374,0.0
2223,7305004000,13,730500,0.0,0.0,0.0,1.07575757575,0.0
2531,2504003003,1,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003003,4,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003003,7,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003003,10,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003003,13,250400,0.0,0.0,0.0,0.0,0.0
2514,1904021029,1,190402,0.0,0.0,0.0,0.0,0.0
2514,1904021029,4,190402,0.0,0.0,0.0,0.0,0.0
2514,1904021029,7,190402,0.0,0.0,0.0,0.0,0.0
2514,1904021029,10,190402,0.0,0.0,0.0,0.0,0.0
2514,1904021029,13,190402,0.0,0.0,0.0,0.0,0.0
2531,2504003007,1,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003007,4,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003007,7,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003007,10,250400,0.0,0.0,0.0,0.0,0.0
2531,2504003007,13,250400,0.0,0.0,0.0,0.0,0.0
833,7002001007,1,700200,0.0,0.0,0.0,0.0,0.0
833,7002001007,4,700200,0.0,0.0,0.0,1.10993093344,0.0
833,7002001007,7,700200,0.0,0.0,0.0,0.0,0.0
833,7002001007,10,700200,0.0,0.0,0.0,0.0,0.0
833,7002001007,13,700200,0.0,0.0,0.0,0.0,0.0
833,7002001005,1,700200,0.0,0.0,0.0,0.0,0.0
833,7002001005,4,700200,0.0,0.0,1.18884950048,0.0,0.0
833,7002001005,7,700200,0.0,0.0,0.0,0.0,0.0
833,7002001005,10,700200,0.0,0.0,0.0,0.0,0.0
833,7002001005,13,700200,0.0,0.0,0.0,0.0,0.989427789812
834,7004023025,1,700402,0.0,0.0,0.0,0.792572463767,0.0
834,7004023025,4,700402,0.0,0.0,0.0,0.0,0.0
834,7004023025,7,700402,0.0,0.0,0.0,0.0,0.0
834,7004023025,10,700402,0.0,0.0,0.0,0.0,0.0
834,7004023025,13,700402,0.0,0.0,0.0,0.0,0.0
1731,1612002011,1,161200,0.0,0.0,0.0,0.0,0.0
1731,1612002011,4,161200,0.0,0.0,0.0,0.0,0.0
1731,1612002011,7,161200,0.0,0.0,0.0,0.0,0.0
1731,1612002011,10,161200,0.0,0.0,0.0,0.0,0.939818809316
1731,1612002011,13,161200,0.0,0.0,0.0,0.0,0.0
833,7002001009,1,700200,0.0,0.0,0.0,0.0,0.0
833,7002001009,4,700200,0.0,0.0,0.0,1.10993093344,0.0
833,7002001009,7,700200,0.0,0.0,0.0,0.0,0.0
833,7002001009,10,700200,0.0,0.0,0.0,0.0,0.0
833,7002001009,13,700200,0.0,0.0,0.0,0.0,0.0
1813,717001002,1,71700,0.0,0.0,0.391304347826,0.0,0.0
1813,717001002,4,71700,0.0,0.0,0.0,0.0,0.0
1813,717001002,7,71700,0.0,0.0,0.0,0.0,0.0
1813,717001002,10,71700,0.0,0.0,0.0,0.0,0.0
1813,717001002,13,71700,0.0,0.0,0.0,0.0,0.0
511,4905002035,1,490500,0.0,0.0,0.0,0.0,0.0
511,4905002035,4,490500,0.0,0.0,1.11294871795,1.1030075188,1.08004944016
511,4905002035,7,490500,0.0,0.0,0.81891209548,0.0,0.0
511,4905002035,10,490500,0.0,1.17228370221,0.0,0.0,0.0
511,4905002035,13,490500,0.0,1.14648179589,0.0,0.0,0.0
422,4603024003,1,460302,0.0,0.0,0.0,0.0,1.9681274901
422,4603024003,4,460302,0.0,0.0,0.0,0.0,0.0
422,4603024003,7,460302,0.0,0.0,0.0,0.0,0.0
422,4603024003,10,460302,0.0,0.0,0.958612741001,0.0,0.977642952125
422,4603024003,13,460302,0.0,0.0,0.0,0.0,0.0
2535,2307003011,1,230700,0.0,0.0,1.81512605042,1.0442477876,0.910256410249
2535,2307003011,4,230700,0.0,0.0,1.25979680697,0.0,0.0
2535,2307003011,7,230700,0.0,0.0,0.0,0.0,0.0
2535,2307003011,10,230700,0.0,0.0,0.0,0.0,1.0201691607
2535,2307003011,13,230700,0.0,0.0,0.0,0.0,0.0
2233,4911003013,1,491100,0.0,0.0,0.0,0.801470588242,-5.66666666604
2233,4911003013,4,491100,0.0,0.0,0.0,0.0,0.0
2233,4911003013,7,491100,0.0,0.0,0.915935672516,1.13764337852,0.0
2233,4911003013,10,491100,0.0,0.0,0.0,0.0,1.8677839851
2233,4911003013,13,491100,0.0,0.0,0.0,0.0,0.0
1021,2912001010,1,291200,0.0,0.0,0.0,0.0,1.37606837606
1021,2912001010,4,291200,0.0,1.02044025157,0.91256830601,0.0,0.0
1021,2912001010,7,291200,0.0,0.0,0.959267810025,0.0,0.0
1021,2912001010,10,291200,0.0,0.0,0.0,0.0,0.0
1021,2912001010,13,291200,0.0,0.0,0.0,0.0,0.0
2511,1801004015,1,180100,0.0,0.0,0.0,0.0,-0.0
2511,1801004015,4,180100,0.0,0.0,0.911585365851,0.0,0.0
2511,1801004015,7,180100,0.0,0.0,0.0,0.0,0.0
2511,1801004015,10,180100,0.0,0.0,0.0,0.0,0.0
2511,1801004015,13,180100,0.0,0.0,0.0,0.0,0.0
