# beat,block,tract,knox_sums,Jan_Mar_ave,Apr_Jun_ave,Jul_Sep_ave,Oct_Dec_ave,expburgs,baseline
832.0, 6608001007.0, 660800.0, 0.0, 0.155556, 0.133333, 0.222222, 0.211111, 0.0, 0.00409357894737
832.0, 6608001001.0, 660800.0, 0.950628871781, 0.155556, 0.133333, 0.222222, 0.211111, 0.00389147433628, 0.00409357894737
831.0, 6608002002.0, 660800.0, 1.01173450678, 0.155556, 0.133333, 0.222222, 0.211111, 0.00414161507728, 0.00409357894737
2222.0, 7302021018.0, 730202.0, 1.33072916667, 0.088889, 0.044444, 0.111111, 0.033333, 0.00311282065516, 0.00233918421053
2222.0, 7302022003.0, 730202.0, 1.33072916667, 0.088889, 0.044444, 0.111111, 0.033333, 0.00311282065516, 0.00233918421053
2222.0, 7302022007.0, 730202.0, 2.94444444446, 0.088889, 0.044444, 0.111111, 0.033333, 0.00688759795325, 0.00233918421053
2222.0, 7302022004.0, 730202.0, 0.0, 0.088889, 0.044444, 0.111111, 0.033333, 0.0, 0.00233918421053
2223.0, 7302023005.0, 730202.0, 0.0, 0.088889, 0.044444, 0.111111, 0.033333, 0.0, 0.00233918421053
1621.0, 1204003000.0, 120400.0, 0.0, 0.044444, 0.033333, 0.033333, 0.088889, 0.0, 0.00116957894737
1623.0, 1204003016.0, 120400.0, 0.0, 0.044444, 0.033333, 0.033333, 0.088889, 0.0, 0.00116957894737
1621.0, 1204002001.0, 120400.0, 0.0, 0.044444, 0.033333, 0.033333, 0.088889, 0.0, 0.00116957894737
1623.0, 1204003024.0, 120400.0, 0.0, 0.044444, 0.033333, 0.033333, 0.088889, 0.0, 0.00116957894737
1623.0, 1204002027.0, 120400.0, 1.12847965739, 0.044444, 0.033333, 0.033333, 0.088889, 0.00131984604982, 0.00116957894737
1621.0, 1204001023.0, 120400.0, 0.0, 0.044444, 0.033333, 0.033333, 0.088889, 0.0, 0.00116957894737
1621.0, 1204001020.0, 120400.0, 0.0, 0.044444, 0.033333, 0.033333, 0.088889, 0.0, 0.00116957894737
1233.0, 3106002000.0, 310600.0, 0.0, 0.022222, 0.088889, 0.044444, 0.055556, 0.0, 0.000584789473684
1233.0, 3106002009.0, 310600.0, 2.22477354119, 0.022222, 0.088889, 0.044444, 0.055556, 0.00130102414822, 0.000584789473684
2514.0, 1903003014.0, 190300.0, 0.0, 0.055556, 0.111111, 0.077778, 0.088889, 0.0, 0.001462
2514.0, 1903002013.0, 190300.0, 0.0, 0.055556, 0.111111, 0.077778, 0.088889, 0.0, 0.001462
2514.0, 1903001011.0, 190300.0, 1.00714771954, 0.055556, 0.111111, 0.077778, 0.088889, 0.00147244996597, 0.001462
2514.0, 1903003002.0, 190300.0, 0.0, 0.055556, 0.111111, 0.077778, 0.088889, 0.0, 0.001462
1523.0, 2519002005.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1522.0, 2519002020.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1522.0, 2519001013.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1522.0, 2519001015.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1522.0, 2519001014.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1522.0, 2519004007.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1523.0, 2519004005.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1523.0, 2519002011.0, 251900.0, 0.0, 0.088889, 0.133333, 0.133333, 0.1, 0.0, 0.00233918421053
1711.0, 1301003002.0, 130100.0, 1.10733384263, 0.066667, 0.055556, 0.055556, 0.077778, 0.00194270066544, 0.00175439473684
1711.0, 1301003003.0, 130100.0, 1.07342657343, 0.066667, 0.055556, 0.055556, 0.077778, 0.00188321393081, 0.00175439473684
1711.0, 1301003021.0, 130100.0, 0.0, 0.066667, 0.055556, 0.055556, 0.077778, 0.0, 0.00175439473684
1711.0, 1301003036.0, 130100.0, 0.0, 0.066667, 0.055556, 0.055556, 0.077778, 0.0, 0.00175439473684
1711.0, 1301003029.0, 130100.0, 0.0, 0.066667, 0.055556, 0.055556, 0.077778, 0.0, 0.00175439473684
2024.0, 312004003.0, 31200.0, 0.912499999999, 0.033333, 0.033333, 0.033333, 0.044444, 0.000800430592104, 0.000877184210526
2033.0, 312003007.0, 31200.0, 0.91037735849, 0.033333, 0.033333, 0.033333, 0.044444, 0.000798568644488, 0.000877184210526
1212.0, 2425002017.0, 242500.0, 1.98218787759, 0.033333, 0.077778, 0.022222, 0.055556, 0.00173874390852, 0.000877184210526
1211.0, 2425002015.0, 242500.0, 0.887198321092, 0.033333, 0.077778, 0.022222, 0.055556, 0.000778236358867, 0.000877184210526
1212.0, 2425001018.0, 242500.0, 1.11486486486, 0.033333, 0.077778, 0.022222, 0.055556, 0.000977941856326, 0.000877184210526
1212.0, 2425002000.0, 242500.0, 0.0, 0.033333, 0.077778, 0.022222, 0.055556, 0.0, 0.000877184210526
1211.0, 2425001002.0, 242500.0, 0.0, 0.033333, 0.077778, 0.022222, 0.055556, 0.0, 0.000877184210526
1211.0, 2425001003.0, 242500.0, 0.0, 0.033333, 0.077778, 0.022222, 0.055556, 0.0, 0.000877184210526
2433.0, 302001018.0, 30200.0, 1.27849002849, 0.066667, 0.022222, 0.055556, 0.033333, 0.00224297617709, 0.00175439473684
2433.0, 302002003.0, 30200.0, 0.0, 0.066667, 0.022222, 0.055556, 0.033333, 0.0, 0.00175439473684
2433.0, 302002008.0, 30200.0, 2.64394261047, 0.066667, 0.022222, 0.055556, 0.033333, 0.00463851900032, 0.00175439473684
2433.0, 302001001.0, 30200.0, 0.0, 0.066667, 0.022222, 0.055556, 0.033333, 0.0, 0.00175439473684
411.0, 8343006023.0, 834300.0, 0.0, 0.1, 0.144444, 0.233333, 0.066667, 0.0, 0.00263157894737
411.0, 8343001013.0, 834300.0, 2.7049180328, 0.1, 0.144444, 0.233333, 0.066667, 0.00711820534947, 0.00263157894737
411.0, 8343001010.0, 834300.0, 1.3524590164, 0.1, 0.144444, 0.233333, 0.066667, 0.00355910267474, 0.00263157894737
411.0, 8343001009.0, 834300.0, 1.3524590164, 0.1, 0.144444, 0.233333, 0.066667, 0.00355910267474, 0.00263157894737
411.0, 8343001027.0, 834300.0, 0.457792207791, 0.1, 0.144444, 0.233333, 0.066667, 0.00120471633629, 0.00263157894737
411.0, 8343001026.0, 834300.0, 0.915584415582, 0.1, 0.144444, 0.233333, 0.066667, 0.00240943267258, 0.00263157894737
412.0, 8343004007.0, 834300.0, 0.0, 0.1, 0.144444, 0.233333, 0.066667, 0.0, 0.00263157894737
