beat,time,knox600ft,knox1200ft,knox1800ft,knox2400ft,knox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat725,7,18.5666666667,46.5916666667,78.3666666667,102.908333333,120.716666667,0.01000000,0.06000000,0.24000000,0.45000000,0.14000000
beat725,10,26.3833333333,73.975,111.65,147.016666667,174.366666667,0.01000000,0.01000000,0.06000000,0.47000000,0.14000000
beat725,13,31.55,91.9083333333,146.941666667,201.633333333,226.183333333,0.04000000,0.01000000,0.07000000,0.27000000,0.46000000
beat323,1,1.93037974684,10.9303797468,19.3987341772,32.4367088608,37.0253164557,0.85000000,0.75000000,0.95000000,0.93000000,0.97000000
beat323,4,11.7848101266,35.5253164557,67.5316455696,91.4367088608,110.037974684,0.02000000,0.12000000,0.26000000,0.24000000,0.63000000
beat323,7,19.7658227848,63.8797468354,116.278481013,168.702531646,194.607594937,0.02000000,0.11000000,0.23000000,0.15000000,0.65000000
beat323,10,23.7025316456,78.3544303797,149.215189873,224.14556962,260.829113924,0.08000000,0.13000000,0.31000000,0.40000000,0.55000000
beat323,13,29.8607594937,101.170886076,201.417721519,273.708860759,332.53164557,0.18000000,0.23000000,0.51000000,0.80000000,0.74000000
beat1112,1,0.935897435897,5.52564102564,9.5641025641,18.5,19.1538461538,0.90000000,0.79000000,0.86000000,0.53000000,0.96000000
beat1112,4,1.65384615385,9.83333333333,18.2307692308,30.3846153846,34.3717948718,0.93000000,0.72000000,0.75000000,0.69000000,0.81000000
beat1112,7,2.24358974359,13.4743589744,25.9358974359,41.6282051282,46.7307692308,0.90000000,0.68000000,0.90000000,0.48000000,0.92000000
beat1112,10,6.73076923077,28.6282051282,60.8846153846,94.3717948718,107.846153846,0.92000000,0.88000000,0.83000000,0.19000000,0.81000000
beat1112,13,8.19230769231,32.3846153846,68.4358974359,104.666666667,118.602564103,0.95000000,0.92000000,0.77000000,0.15000000,0.76000000
beat1531,1,0.118421052632,0.394736842105,1.81578947368,2.80263157895,4.03947368421,0.30000000,0.74000000,0.59000000,0.84000000,0.09000000
beat1531,4,1.07894736842,6.03947368421,12.3815789474,21.9473684211,25.7894736842,0.72000000,0.92000000,0.79000000,0.36000000,0.21000000
beat1531,7,2.57894736842,9.38157894737,21.1447368421,35.5263157895,41.1184210526,0.68000000,0.88000000,0.90000000,0.44000000,0.07000000
beat1531,10,3.57894736842,19.7894736842,39.7105263158,61.5657894737,72.0,0.92000000,0.63000000,0.84000000,0.20000000,0.01000000
beat1531,13,6.10526315789,28.8157894737,54.1184210526,79.7763157895,95.6315789474,0.90000000,0.43000000,0.79000000,0.39000000,0.03000000
beat1915,1,5.17391304348,7.30434782609,13.1304347826,17.1739130435,17.6739130435,0.01000000,0.24000000,0.47000000,0.18000000,0.36000000
beat1915,4,7.78260869565,10.1086956522,16.1956521739,22.847826087,24.7173913043,0.06000000,0.30000000,0.81000000,0.13000000,0.51000000
beat1915,7,8.0,9.67391304348,16.6739130435,25.7391304348,28.9565217391,0.12000000,0.45000000,0.95000000,0.37000000,0.63000000
beat1915,10,8.89130434783,16.0869565217,25.7826086957,33.5652173913,34.0869565217,0.04000000,0.15000000,0.83000000,0.30000000,0.37000000
beat1915,13,16.2391304348,19.0,32.3043478261,45.6086956522,47.1956521739,0.01000000,0.08000000,0.68000000,0.22000000,0.30000000
beat1012,1,5.95689655172,11.2672413793,17.3965517241,23.25,28.3448275862,0.02000000,0.08000000,0.20000000,0.21000000,0.44000000
