beat,block,tract,knox_sum
2535,2307003003,230700,2.10036539368
213,8359003001,835900,5.11998703177
432,5203002002,520300,0.0
432,5203002001,520300,0.0
511,4906001067,490600,2.98998412876
511,4906001068,490600,2.89653187249
1212,2423001021,242300,10.7994844258
1634,1508003004,150800,3.86244329669
2033,311003008,31100,0.0
411,8343001009,834300,13.4621735125
2511,1904012001,190401,0.0
812,6406002019,640600,1.28166666667
234,4109001000,410900,0.0
512,5002001016,500200,5.8172248825
1411,2107003023,210700,0.0
114,3201002032,320100,1.88181818181
513,4909022055,490902,11.1367766449
513,4909022051,490902,10.8704001595
1624,1504023003,150402,2.8814760867
813,6502003014,650200,2.08516805627
