beat,time,eknox600ft,eknox1200ft,eknox1800ft,eknox2400ft,eknox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat1134,4,1.7619047619,4.80952380952,8.95238095238,12.380952381,13.4285714286,0.24000000,0.04000000,0.12000000,0.06000000,0.06000000
beat1134,7,1.47619047619,5.90476190476,8.61904761905,12.7142857143,13.5238095238,0.30000000,0.02000000,0.07000000,0.06000000,0.05000000
beat1134,10,2.14285714286,6.33333333333,11.0,12.0,13.8095238095,0.24000000,0.04000000,0.04000000,0.09000000,0.06000000
beat1134,13,3.28571428571,7.95238095238,12.5238095238,17.7142857143,19.3333333333,0.25000000,0.04000000,0.01000000,0.07000000,0.12000000
beat1522,1,2.28333333333,7.33333333333,14.45,24.0,26.4833333333,0.01000000,0.01000000,0.01000000,0.05000000,0.16000000
beat1522,4,9.56666666667,28.0333333333,56.0166666667,77.9833333333,93.8,0.01000000,0.07000000,0.32000000,0.60000000,0.32000000
beat1522,7,16.4833333333,51.5,91.2333333333,140.6,166.816666667,0.02000000,0.22000000,0.92000000,0.95000000,0.89000000
beat1522,10,20.9833333333,61.4166666667,118.466666667,159.566666667,200.633333333,0.05000000,0.13000000,0.55000000,0.75000000,0.87000000
beat1522,13,24.9333333333,72.6,138.116666667,204.716666667,237.9,0.11000000,0.25000000,0.60000000,0.63000000,0.77000000
beat731,1,0.347826086957,2.47826086957,5.52173913043,7.26086956522,7.78260869565,0.85000000,0.67000000,0.31000000,0.20000000,0.36000000
beat731,4,0.739130434783,3.95652173913,8.04347826087,10.0869565217,11.3913043478,0.31000000,0.59000000,0.66000000,0.18000000,0.39000000
beat731,7,1.39130434783,6.34782608696,12.2173913043,14.7826086957,17.0434782609,0.53000000,0.62000000,0.80000000,0.81000000,0.61000000
beat731,10,2.34782608696,9.73913043478,17.9565217391,24.1739130435,26.4782608696,0.35000000,0.71000000,0.70000000,0.88000000,0.46000000
beat731,13,2.60869565217,12.5652173913,23.3913043478,31.0434782609,34.5652173913,0.17000000,0.82000000,0.72000000,0.73000000,0.40000000
beat623,1,1.5,5.02941176471,9.42647058824,14.3529411765,19.1029411765,0.63000000,0.56000000,0.85000000,0.98000000,0.91000000
beat623,4,5.01470588235,18.1764705882,30.9264705882,47.7205882353,63.2352941176,1.00000000,0.99000000,0.99000000,0.99000000,0.98000000
beat623,7,7.82352941176,28.5147058824,48.2205882353,77.0,103.691176471,0.65000000,0.73000000,0.70000000,0.98000000,0.88000000
beat623,10,11.7352941176,40.75,69.3088235294,110.25,147.470588235,0.52000000,0.69000000,0.86000000,1.00000000,0.85000000
beat623,13,15.0588235294,51.9264705882,89.0735294118,141.102941176,189.367647059,0.32000000,0.73000000,0.90000000,0.99000000,0.94000000
beat1813,1,0.24,1.08,1.56,2.52,2.6,0.43000000,0.63000000,0.93000000,0.65000000,0.79000000
beat1813,4,0.88,3.72,7.28,11.04,11.88,0.11000000,0.79000000,0.86000000,0.54000000,0.48000000
beat1813,7,1.16,4.96,11.96,15.08,16.88,0.16000000,0.96000000,0.78000000,0.55000000,0.82000000
beat1813,10,2.2,7.2,16.04,22.04,25.12,0.52000000,0.94000000,0.38000000,0.36000000,0.64000000
beat1813,13,2.88,10.4,22.04,31.04,33.8,0.34000000,0.83000000,0.25000000,0.21000000,0.42000000
beat2024,1,0.0,0.0,0.0,0.0,0.0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
beat2024,4,0.615384615385,2.53846153846,2.76923076923,4.0,4.0,0.21000000,0.82000000,0.38000000,1.00000000,1.00000000
beat2024,7,1.15384615385,3.69230769231,7.0,8.0,8.0,0.06000000,0.34000000,0.24000000,1.00000000,1.00000000
beat2024,10,2.38461538462,9.0,11.6923076923,14.0,14.0,0.18000000,0.28000000,0.69000000,1.00000000,1.00000000
beat2024,13,3.07692307692,13.3846153846,17.4615384615,20.0,20.0,0.30000000,0.29000000,0.74000000,1.00000000,1.00000000
