ca, time, knox600ft, knox1200ft, knox1800ft, knox2400ft, knox3000ft, p600ft, p1200ft, p1800ft, p2400ft, p3000ft
ca39,7,0.91507431,1.00362757,0.937264595,0.931377778,0.945420076,0.09,0.17,0.24,0.38,0.22
ca39,10,1.023762376,0.958203014,0.963926941,0.982415309,1.067432844,0.16,0.31,0.35,0.38,0.09
ca39,13,0.870466321,0.970193214,1.005932203,1.057679227,1.081130835,0.12,0.3,0.32,0.22,0.08
ca40,1,0.858173077,1.112275163,0.917672773,1.131047152,1.082513992,0.76,0.2,0.57,0.22,0.06
ca40,4,0.976472008,1.037348318,0.985183558,1.005454612,0.989792814,0.73,0.25,0.54,0.37,0.58
ca40,7,1.15744041,1.053041018,1.012059926,1.018879446,0.994101916,0.24,0.1,0.19,0.2,0.54
ca40,10,1.071466161,1.032267953,1.011056045,1.006995735,0.997013473,0.11,0.08,0.07,0.08,0.19
ca40,13,1.193207956,1.029053051,0.99890205,0.99189352,0.980622917,0.07,0.08,0.14,0.21,0.35
ca41,1,1.840859031,1.118016321,1.058694593,0.970184697,1.036209887,0.01,0.01,0.01,0.02,0.01
ca41,4,1.169125993,1.124234538,1.124227202,1.070654782,1.047117808,0.03,0.01,0.01,0.01,0.02
ca41,7,1.140243902,1.070538974,1.056283375,0.9537027,0.994511501,0.03,0.02,0.01,0.06,0.05
ca41,10,1.135325559,1.087666723,1.041165899,0.942289731,1.043489831,0.01,0.01,0.03,0.12,0.05
ca41,13,1.529411765,1.125211391,1.056438187,0.978508976,1.074783885,0.01,0.01,0.01,0.07,0.01
ca42,1,1.146859231,1.088981758,1.073931022,1.051838235,1.008766606,0.16,0.11,0.07,0.01,0.02
ca42,4,1.093114872,1.114102334,1.085414643,1.045007207,1.03098082,0.11,0.02,0.02,0.02,0.01
ca42,7,1.113170558,1.104441917,1.060053399,1.032015879,1.029617233,0.06,0.01,0.01,0.01,0.01
ca42,10,1.221929236,1.078567579,1.040387687,1.021453404,1.008253099,0.02,0.01,0.01,0.01,0.01
ca42,13,1.112017742,1.071305752,1.056811452,1.026136552,0.998874765,0.01,0.01,0.01,0.01,0.01
ca43,1,1.289842312,1.000243808,1.023486433,0.973447706,0.986700651,0.01,0.04,0.01,0.12,0.24
ca43,4,0.967136276,0.981615478,1.008200027,1.004947914,1.001401936,0.09,0.24,0.11,0.13,0.22
ca43,7,1.076513238,1.021009117,1.046969385,1.020703624,1.009090253,0.03,0.05,0.01,0.05,0.04
ca43,10,1.053836882,1.012055543,1.030944238,0.998148598,0.992414716,0.04,0.05,0.02,0.03,0.14
ca43,13,1.020532159,1.008101428,1.015262116,0.99653987,0.999958067,0.04,0.04,0.03,0.05,0.1
ca44,1,0.998909762,0.986233435,0.969973989,1.042026169,0.927581345,0.45,0.5,0.61,0.5,0.79
ca44,4,1.228531517,1.066224717,1.064793052,1.06276446,1.044012666,0.04,0.03,0.02,0.01,0.02
ca44,7,0.983575095,1.028954823,1.016378384,1.019967884,1.005421409,0.07,0.01,0.08,0.01,0.04
ca44,10,0.964978942,1.021662298,1.006547175,1.023791968,1.002119794,0.15,0.14,0.05,0.02,0.07
ca44,13,1.089191586,1.027028696,1.020160275,1.042097404,1.000823243,0.11,0.06,0.06,0.02,0.06
ca45,1,1.677083333,1.100877193,1.240325866,0.755208333,1.060397554,0.05,0.18,0.06,0.25,0.12
ca45,4,1.008361204,1.057573074,1.123044838,1.049854967,1.030218317,0.12,0.18,0.09,0.11,0.18
ca45,7,0.493288591,0.893913043,0.984397678,1.05005005,1.00774608,0.46,0.54,0.26,0.07,0.16
ca45,10,1.065972222,0.987645688,1.099062134,1.067191754,0.997827306,0.47,0.52,0.17,0.11,0.16
ca45,13,1.218965517,1.00666889,1.118924972,1.043377632,1.007396637,0.35,0.45,0.14,0.17,0.16
ca46,1,1.547634136,0.851960646,1.084721588,1.050177921,1.026607831,0.01,0.44,0.16,0.16,0.13
ca46,4,1.034227521,0.975007009,1.031746201,0.995324789,0.997042796,0.04,0.29,0.16,0.39,0.32
ca46,7,1.189383739,1.015873724,1.040687979,1.014554027,1.043962409,0.01,0.21,0.07,0.19,0.05
ca46,10,0.788884344,0.966992724,1.004541837,1.00533791,1.026350198,0.11,0.32,0.24,0.13,0.04
ca46,13,1.234668204,1.053322136,1.073583151,1.041951162,1.053687955,0.05,0.04,0.02,0.03,0.01
ca47,1,0.5,1.305555556,0.48,3.5,0.666666667,0.64,0.3,0.65,0.45,0.78
ca47,4,2.055555556,1.007246377,0.719262295,1.103846154,1.008090615,0.07,0.52,0.99,0.08,0.25
ca47,7,0.868421053,0.690140845,0.445512821,1.661654135,0.904411765,0.16,0.77,1,0.09,0.24
ca47,10,-0.125,0.878698225,0.711790393,1.465065502,0.799450549,0.14,0.52,1,0.23,0.77
ca47,13,0.543478261,0.98630137,0.624535316,1.320422535,0.899159664,0.36,0.29,1,0.38,0.63
ca48,1,1.235294118,1.796116505,0.815340909,0.713286713,0.927350427,0.37,0.07,0.18,0.45,0.54
ca48,4,0.993939394,1.132986627,0.87304848,0.918219462,1.005344164,0.32,0.3,0.41,0.52,0.45
ca48,7,1.233009709,0.948997384,0.973711077,1.130344108,1.145969499,0.39,0.69,0.43,0.09,0.2
ca48,10,1.193478261,0.855483871,0.988293051,1.073174006,1.013093107,0.29,0.68,0.58,0.24,0.14
ca48,13,1.609090909,0.966056034,1.202502644,1.278386844,1.174862736,0.13,0.42,0.14,0.02,0.03
ca49,1,1.337684895,1.063769317,1.014978153,0.941799706,0.930181202,0.05,0.04,0.06,0.26,0.6
ca49,4,1.181654494,1.109126793,1.026583133,0.987387079,0.997848542,0.01,0.01,0.1,0.49,0.44
ca49,7,1.054462935,1.038737042,0.99464229,0.987604615,1.00933319,0.02,0.01,0.13,0.35,0.38
ca49,10,1.106857643,1.06707784,1.027585809,1.000437632,1.017603947,0.01,0.01,0.02,0.14,0.22
ca49,13,1.084197324,1.055711751,1.025302429,0.995625679,1.015760533,0.01,0.02,0.02,0.11,0.12
ca50,1,0.456521739,0.611111111,1.318181818,0.822368421,2.25,0.85,0.86,0.61,0.7,0.63
