,community_area,block,days_from_end,X600,knox600,p.value,X1200,knox1200,p.value.1,X1800,knox1800,p.value.2,X2400,knox2400,p.value.3,X3000,knox3000,p.value.4,expected_value_600,expected_value_1200,expected_value_1800,expected_value_2400,expected_value_3000,Score
26168,50,5001002014,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
26169,50,5001002014,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
26170,50,5001002014,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
26291,50,5003002023,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
26292,50,5003002023,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
26293,50,5003002023,t-8,0,1.701830737,0.01,2,0.888154675,0.01,1,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,1.77630935,0.923089187,0,0,2.70
26294,50,5003002023,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
26295,50,5003002023,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
26826,50,5003001013,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
26827,50,5003001013,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
26828,50,5003001013,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,3,0.953866933,0.06,0,0.996738996,1,0,0,0,2.861600799,0,2.86
26829,50,5003001013,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
26830,50,5003001013,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
29061,50,5001001016,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
29062,50,5001001016,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
29063,50,5001001016,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
